userName,content
Sulis Tiono,ngak ngak objektif
Ahmad Saifulloh,supaya berbenah  
Achmad Hilmy,terlalu menggiring opini  opini nya
JalePot,gak netral lagi   uninstall
Ibnu Irawan,cenderung berita fitnah   hoax
zainul abidin,media netral  penghasut pemecah kerukunan masyarakat nkri unfaedah
Indra Nowindra,aplikasi berita ky tai    
Andre Fosil,jadilah media mencerahkan
Kaneka Pasadona,good bye    mari disapear   
boss besar,gak profesional unggah berita
RED CHICKEN,kok media oposisi  
Gen Zet,suka klik bait  provokasi 
Jogjja 123,perjuni      bye detik   dulu sllalu jd rujukan dgn meliat coment emo byk yg pro kontra disitulah aq msh meliat keadilan detik  
Izroil Izroil,informasinya kadang menyesatkan
Herman Wibowo,semoga jalan yg
Poetoe,omong kosong
Meli Sirait,akhir  britanya sdh gak sehat 
Syarjan Khairan Athallah,aplikasi sampah  
Fajar Fatahilah,bye bye   
Abdul Lathif,beritanya rese
iman sofyan,biar bintang yg komen     
033_FIKRI NATADIWIRYA MAULANA,ngikut aja
Mazied Mubarak Mabbette,situs berita yg tdk fair   sy tdk suka isi beritanya  provokatif
Sigit Budi,banyak berita yg bersifat provokatif
Vince,aplikasi berita isinya menghasut   
ANDREAS CHRISTANDY,lho  ratingnya turun  
Tulus Simamora,bintang aja  karena independent  ingat pers independent 
Ari Jumiarti,blunder
Irwansyah Lubis,mulai aneh yah    isi beritanya apa  judul nya apa    kadang judul nya baru    tapi isi dalem beritanya sama    sekarang kaya nya uptodate yah   
Marta Jait,judul berita nya apa  isinya aja    dulu suka detik    uptodate    makin kesini gak karuan   
Ali Gonjod,beritanya bagus  menginspirasi sekali  super boong  
TOSA RICKY DHARMAWAN,kebebasan pers tunjukan tanggung media menyebarkan informasi yg bertanggung jawab  jangan menyebarkan berita 
Dadang Rahmat,beritanya palsu           
Wendy Arya,mendingan baca babe   
Eko Susilo,nikmati pilihan mu    
Ameliea Fhirman,tidak berita positif
Budi Hasiholan,dari era hp blackberry sampe android selalu detik referensi berita skrang kau berubah 
junaidi doloksaribu,sudah ga kredibel beritanya
Khaidar Fakhri,tidak bagus download 
Indra Sena,kasian cebong buzzerp istana   muka buruk cermin belah burul kerja   diberitakan   beritanya dirusak bodoh
Diana Diana,beritanya amanah
Muchairil Ballack,dengan terpaksa uninstal
Melvin Krisbryan Oskario Madika,beritanya berimbang hoax
Yosep Tamba,mulai dipercaya isi beritanya 
sandhyakara goldy,sering judul isi berita ga nyambung
Nikson Siregar,harusnya netral 
Muhamad Fajri,banyak iklan antarmukanya bikin puyeng   
Said Abdul Hamid,judul berbeda isi
Pranoto Njoo,sekarang jd media kadrun
Vera Toha,sesekali keliru pemberitaan dimaklumi  tapi kl berkali kali cm direvisi dibarengi permintaan maaf kewajaran lagi   sorry  uninstall ya
Triabi Din,sy ubah ulasan jd   
ricky permadhani,kebanyakan hoax media
Yaniz77 Mariah1,jd malas sm qm
jackson patola,janga tingkah buat berita yg benar  mampuslah klean
Prima Guna Hutajulu,detikcom kebablasan menjalankan fungsinya  judul berita nya provokatif menyudutkan data akurat 
Muhammad Hanif,isinya hade    
DAVID FRITZ BANJARNAHOR,jadilah media yg memberitakan sesuai fakta  
Ilham,ga beres
amir hamzah,tolong beritanya menyejukkan dipertanggungjawabkan
Kombang Yanto,bikin hoax dulu  reivisi 
Agustinus Agung,kebanyakan iklan  berita susah  jebakan kepencet ganggu
Ekotugi 1987,udah gak independent  
dr. Afrina AP,berita nya manfaat
nugroho Natalis,berita sampah       gak ada faedah     mamam tuh 
Arif Ircham,judul provokatif
dimas Prawira,media provokator sampah  pemecah belah bangsa      uninstall
adre tan,komisionernya detik sby tumbangkan
Lazarus S,beritanya sungguh bombastis kebanyakan ngawurnya    semoga introspeksi team redaktur nya
Leonardo Manullang Torang,thx hp saya 
SYAMSUL HADI MUSTOFA,sering judul gak sesuai isi  clickbait
T'guh Kurniadi,beritanya ga ga percaya 
Radika Dhanar, berimbang reporternya suka koreksi berita keliatan klo nulis
musyaffa maulidy anatha akbar,narasi berita valid menimbulkan kesesatan
Alam Lain,sudah berita hoax nya    
Phisca Shehulega,makin gak berguna berita nya
Ichtiardi #high,semakin parah sekarang    antara judul isi berita berbeda 
Uti Maryati,aku mencium aroma bau busuk judul  mu    
Arie Suprapta,ini media sampah kenyataan  beritain  rugi quota download  klo bintang     pilih     sampah uninstall aja  
kusuma 31,berita shrusnya jd informasi pendidik public
Nauralifa Zalfa Althafunnisa,portal berita jelek      
Hendro Gunawan,provocative news  not recommended
gudang getah,beritanya sampah    penipu
Billy Permana,judul berganti sesuka hati  cenderung mengakibatkan provokasi ketidak netralan berita 
Djoko Permono,makasih
Safan Nurhadianto,jurnalis kode etik   
Sandriono Silaban,tidak netral detik ini  udah ngaco
Hari Mulyono,oi beritanya gmn 
Widiyanto Pambayun,clikbait 
Bram Ganteng,media telek
lambang setiadi,ah    ya lah  
Apul Siregar,judul yg provokasi   memecah belah masyarakat 
Ray Vega,mau ngarepin berita sini   berita gak bikin adem 
Jannes Maharaja,tidak kredibel cenderung berpolitik 
I Putu Galang Krisna Bayu,berita kebanyakan hoak
Andre Ws,click bait terus
Adhe Oka24,berita rusak
febrianto hari baskoro,judul sesuai isinya
Alfa Ridho,ga logis
bgs wbw,aplikasi membingungkan  iklan crash  clickbait
Ade Kurniawan,media gembel
Hadi Purwanto,jadi males si
andre wyse,banyak clickbait  buang  kuota
shan san,judul sesuai berita   sehat   
Fajar320,memberikan judul provakasi pembacanya
Hasyim Wawan,media clikbait
Tris Wandono,makin ancur tulisan tulisannya
Indra Vextor Maulana,ikutan ah   ntr klo dh beres kasih    
poponk wijarnarko,membaca berita bikin binggung sendiri  berita siip
Lisbont Hombink,berita nya kalah ma media lain  
Owen Gea,beritanya kebanyakan sampah     yah sampah
beltsazar wistara,tidak obyektif nih
Darren Sitanggang,sering bikin gaduh
silqani saputra,media pembohong           isinya provokator   judul ama isinya beda   
deon ramzy,berita nya bagus mengadada
Aulia ekaputri channel,click bait melulu  shame on you hu    pret  
Syandana harsa Guritno,babyak heritage framing pesanan ga bener mic in
sazuke cool,selalu clik bait
Alberta Alfrido,ngawur berita ngawur
Eri Ikwanto,negara dijalur benar  tp media berita ngak benar  maaf rakyat indonesia cinta nkri
Adi Kwintarta,tdk netral    
Dedi Cahya,terkadang menggiring opini
XanXan,not netral
Cinta Gabriela,beritanya isinya kebanyakan hoax  judul yg provokasi  habis klarifikasi  
Knet Aja,entah yg nulis tolol disengaja isi berita sesuai fakta  
Januarman Larosa,berita tdk kredibel
Teguh Santoso,nulis berita sak karepmu dewe nok pikir nulis surat nang mantanmu  
Agus wIJANA,habis nulis berita  ntara nulis klarifikasinya   suah memberitakan hoax   
Suci Uchy,tidak layak tayang
Sony Macho,goodbye detikcom  
Agus Salim,beritanya udah  bermutu  isinya provokasi
aning wulandari,gak suka aja
hansen supriadi,permainan nya serem  suka kalah mulu  
Leodardo Sinaga,junk news
Peng Panggabean,provokatif independen berita  mohon profesional menjaga independensi berita 
lita krisdiana,informasi utk masyarakat tdk keresahan masyarakat sendiri  detik menampilkan yg
Sukiman Kimansu,media buruk  membuat berita sesuai pesanan pemilik modal 
Frandy Wirawan,bykan hoak drpd faktanya menjerumuskan yg baca
Beny Benout,media ga bermutu  ga narasumbernya  plin plan  semoga cepet hancur  hati  sm netizen skrg dah pinter  
Damar Petir,ga lg liat detik  unfaedah  msh portal berita yg netral 
Ferry Sanjaya,akhir  detik suka menprovokasi berita mengubah segmen judul arah krusial 
salomo silaban,berita jelas judul arti berbeda isinya
maret cruise,sudah independent    kecewa    
Adi Suhendar,fak
XG Sonic,berita     please balikin detik seperti dulu   
Romeo Part9,prikitiw
Rudi Adyasta,judul berita isi berita apa    
Jeremi Gerimis,detik oon
Frada NF,ben kapokk
Resident Evil,makin turun  beritanya bermutu
setiyanto sty,judul beritanya kadang beda kejadiannya
Ricardo Aditya Lam,media online sampah
Paul Scholes,media pemecah belah bangsa     
Rz Muhammad Ibrahim Tabrani,gak bgus lgi media isinya
Reza Febrian,beritanya yg benar    
Andre juntak,beritanya skrg netral lg  
puguh kurniawan,sering ganti judul menandakan tanggung pemberitaan 
ika e. juita,media propokatif untung gak pembredelan spt
taufik abdurrahman,kebanyakan sumber ga
Aji Iswahyudi,isinya ampas judul isi beda   
Dionisius Jarot,tenggelam bye  berita revisi
Veri Soekamti,pembodohan public
dinar widiantoro,kebanyakan klik bait
davina imel,ga suka lg    
Santi Mutiara Sari,beritanya hoaks
syaf ama,tdk independen  kepentingan tdk didalmnya    
Abdul Ghazali,tobat bintang  
bironk Champz,udah nggak independen lg  
Arryandhi Yudhistira Perdana,akhir framingnya jahat  judulnya clickbait udah   berlangganan media ini  good bye
galih setiawan,beritanya gak mutu  etika jurnalistik
Syaiful Aldiansyah,judul berita berbeda jauh  menyudutkan salah pihak 
Sahat Sigiro,media minim filter
Adun sunda,ga kaya lagi  
Joe Kaliet,seringkali judul isi yg berbeda  seakan menghasut ga ngerti lah
Muchlis B,media propaganda pembodohan 
Bastanta Kembaren,secara aplikasi ckup bagus  terkadang judul sesuai isi konten 
Anton Christian,tendensius gak jelas   uninstall
zleechjacob Jacob,suka hoax    klo ketahuan hoax lgsung cpt   revisi   preett
Jibriel Albani,kesini berita ga mutu    
Pengguna Google,klik bait kontol
Hafid Waluya Usman,beritanya bermuatan politik sehat
Hedrawan Channel,ndak bermutu   
oloan putra,beritanya udh ga
Ade Arshavin,jelek bget krn redaksi editornya udh berani ngasi judul berita click bait   
Aruna Mikhael Ibrahim,beritanya dipercaya 
Guritno Widodo,media ngak mendidik  mending sy kasih bintang   ngak   
khenjie stars,udah gak berita aplikasi ini    
iim 1899,beritanya sampah gak akurat  
Amy 15,sangat unfaedah pendidikan rakyat   media berbobot
ZeeMYrose,tidak suka   jarang baca jg
Gelora Pendaki,entah detikcom        
eka novia hany kristyanti,berita ny gk objektif
Jhon Kololius,klo clikbait  uninstal masal lo
Indra Badrak,beritanya ga jelas   jng download
Sena Nov,bener memuakkan detik   penuh hoax
Mohamad erlan efarda,berita simpang siur   sesuai fakta  mengada   
Atik Zizack,gak fair
andre kurniawan,ngiaingo  cuk gancukk
Kinaya09 Naura,banyakan berita clickbait   
Admin LMG - Samuel K,sudah clikbait nya   
tian kembuan,media yg netral lagi   nga tau motifnya
R_ Channel,sumber berita yg memprovokasi
cicilia pujiastuti,tidak obyektif ngawur ga mutu
Rini Gandayugi,males baca lagi 
Ochie,judul provokatif pemberitaan menyudutkan pemerintah presiden 
muhamad iqbal,unfaefah
Nengah Suanda,nggak sebagus    sekarang cenderung ngawur
Indra raditya negara,media clickbait nipu
Jones Purba,beritanya menjelekkan pemerintah  independen  profesional 
Daduk Pesanggaran,revisi berita     
Rudyoz,karna jarang baca detik  berita detik  liat liat judul iya sih    jadi memory hp penuh  bagus nya unfoll aja nih detik 
Larto Setiawan,ya lah    mau gimana lagi    saya bintang      biar intropeksi nih pemberitaannya  biar pemberi berita sesuai kenyataan
Arsyad Baworz,mengecewakan  bertahun  netral pesanan kadrun
Romil Ula,saiki beritan  ora mutu
licopin gaming,media busuk sekarang  berita tdk sesuai kmytaan
Ads Semplak,revisi
Oki satiyo Nugroho,sudah males baca detik  kaedah prinsip prinsip jurnalistik abaikan   payah    padahal referensi saya    sangat mengecewakan
Dharma Syaputra,baday
Kristoforus Eddysantoso,beritanya udah gak
Alex Richard Siagian,dulu menyukai detik  sekarang berita nya provokatif  judul isi berita sama 
M Je,judul tolong disesuaikan isi berita
Omer Muhammad,gak netral ko cuk   
Arh Ary,pret       
Sahabat Neraka,uninstall aja berita direvisi
Alex Richard N.P. Siagian,provokatif terpecaya
Tedi Wijaya,media sampah penjilat cendana njing
dimas yosef,saya berharap informasi bijak 
Ar' G,kecewa brita akhir  hoax trus
wayang kulit,tidak proposional
muhammad arsyad,tidak netral sekarang   berita yg sy percaya busuk pemberitaanya hoax
Robert chris,maaf ya om  
Grandheess Ajja,kurang berbobot berita 
Suroso hadi waluyo,media  bagus aja ku   
Egi Satriandi,tidak profesional terkesan kegaduhan
mira ijati,usaha berpuluh puluh biar media on line no     habis gegara mantan presiden yg komut    rating terjun bebas
Kurnias Mendrofa,tidak profesional   
Wira wira semadi,berita kebanyakan hoaxnya
Imam Syafei,unprofesional
Dony Prasetyo,bijaklah memuat berita bos    
Arya Darmawan,isinya judul cenderung provokatif
Sugi Rossi,beritanya mbuh   
Melina Sianturi,ikut ah
Van Rivan,semoga kedepannya profesional penyajian berita    judul berita provokatif berdasarkan data fakta valid
Purwanto Azzahra,jelek   beritanya ga kredibel
agung wardoyo,media inkonsistensi  berita revisi 
Wahidin Subur Jaya,portal berita penuh fitnah tidak kredible  
LONGGI _GARAGE77,pemberitaan tdk independent  
Vinbo Hyde,berita detik mengecewakan  semoga media yg netral 
Joe Saja,tidak seimbang
Nuryadi Komi,judul isi berita sinkron
Agoez Darmawan, get nothing from this app
TeBe chanel,media clickbait provokatif
Andrew 29,judul berita ngak nyambung isi berita
Budiasa Tistan Ratdana,portal berita bagus
yudhi kurniawan,media payah    bye    
Ngatijo Klewer,salam pepo
Muh Nursin (Usin),media pemecah bangsa 
Jaya Makmur Sovenir,unistal aja gk pakai
hilman hilmansyahsaid,ogah
Komang Ratdana Adyatama,makin gak bermutu beritanya
Market Berjangka,berita  parah  unistal
Vita Charmed,sering revisi gak konsisten   
Kesit pangimpoen,jelek ga update
Rai Suardana 99,not kredible   unistal
Arka Sheehan,media tp isinya gk berimbang
Ralla Andy,ada denganmu     
Antont Tjong,sy mengikuti mengapresiasi berita  dr detik   karna sy pembaca setia detik  tp kejadian itu  detik media elektronik yg bagus
Bagus Forex 17,berita  yg gk jelas   unistal  
Imam Sapii,gonta ganti judul gak
mas_ pardy,objektiflah berita
Arie segara,sekarang netral pemberitaanya
Candra Dila,tak kasih bintang aja ya    
Heri Supriadi,judul berita akhir  cenderung tdk sesuai dgn isi berita  terkesan provokatif menghasut
RIDWAN SIDABUTAR,tidak relevan
Berkat Gea,pemberitaan profesional cenderung provokasi 
indra purba,belakangan penulisan berita ralat
Ahmad Supino,mohon perbaiki memuat berita   
Fazar Noegraha,judul berita berubah ubah  
Apriyanto yanto,judul berita berubah ubah isi berita gak sesuai dgn judul clickbait
Mbuh Oppo Official,terus terusin hoax nya  diklasifikasi kalao hoax  situ bodong blo on
Antony Jin,kurang dipercaya   
kasnadir ashock,beritanya berimbang lagi     tidak beda provokator   sampah 
Ach Alfiansyah,ga un instal hp gw
Fab Sebastian,underrate news
Yunus Andi,aplikasi gak mutunya
armando atje,isi sesuai judul
Yuke Soni brojo,antara judul isi gak sesuai   pinggiringan opini kearah negative   macem media sampah  plis deh jurnalisnya ditatar ulang  
Regina niken wilantari,judul isi berbeda  males baca
Della Costa,salah korban berita tendensius   revisi
Ressa Modra,revisi mulu  sengaja gimana  
Argha Dyanto,gua rubah kirain beritanya berimbang eh pesan beritanya 
Heri Ganteng,membuat pembaca nya revisi
ami miharso,akhir  media menggiring opini negatif 
T GRB,udah ngadrun skr  berita dipelintir  portal sampah  pantesnya masuk tong sampah
fadillah ilham,judul beritanya sesuai
Ardiansyah Wijaya,sering click bait  nyari duit  gt jg kali
Heri Yanto,seharusnya rujukan informasi yg objektif isinya revisi mulu
Fitriani Dyah Susiana,dikit  revisi menggiring opini   hadeuh 
anak mujaer,media condong berat sebelah
Joko Isworo, netral lagi   berita disajikan bwberapa kali tdk sesuai judul
Adek Junihartawan,kebebasan pers kebablasan
abahnya ifa,jangan diulangi ya
Jalu Erlangga,berita klickbait
rai topodava,cari mkan indonesia gini yaa  pemerintah capek  mmbangun negri bkin isu propokatif  mmpus ajala
Ridwan cht,hoax revisi menunggu detik berita profesional tidak menyudutkan dan berdasarkan prinsip emik
Andhika Agung,detik  cnn  cnbc group owner guys    ingat  masyarakat melek berita politik  kepentingan mengejar rating pundi pundi receh  memainkan emosional masyarakat berseteru  catat     semua media berita pantau kenetralisasiannya 
manyoel hourex,media independen cenderung memecah belah
Farman Ardinata,ngak netral
Noevie alfiean,keseringan mengulas tokoh tokoh yg nyata  provokatif   ramadhan memunculkan ustadz yg terbukti kualitas ilmunya
Abay Kurniawan,media labil berita
Christoforus Dona,cenderung beraroma kadrun
Juliber Situmorang,judulnya provokatif
Zulkarnaini Atjeh,penyebar kebencian   boikot ajalah
Zulkarnaini Atjeh,maaf   detik berubah 
Jeffry Harahap,beritanya ngawur berkualitas  bad 
Zulkarnaini Dahlan,semoga media jujur  memghasut pembacanya membenci lain 
Zulkarnaini Channel,uninstall media penyebar hoax  boikot biar gda baca lagi 
Intong benediktus,akibat suka sebar hoax dr kadrun karyawan
Januar Bernard Setiadi,detik berita provokasi   hoax  saya respek detik   
Bayu Putra Pratama,ga kredibel      
Djunianto Lemuel,sudaa obyektif 
Daniel Gunawan,satoe
Daun Hijau,berita byk pesan an kaum oposisi
Pajeru,berita hoax muat  halah hai
Metal Jigger,berita taek  sampah dng editor tolol farming  pemerintahan sah tdk mendasar  sy pendukung  pemilih silent majority yg tdk suka pemberitaan tnpa konfirmasi belah menyudutkan   kalian rating uang buzzerrp   bodoh  mengajari rakyat goblok dng pemberitaan sampah   unistal kalian   
Muhamad Juan Fauzan_092,parah  detik terkontaminasi pembenci  
erry hendrawan,penuh pelintiran framing buruk pemerintahan pusat
chris secu,dulu suka detik  tapi disayangkan netral mengiring opini publik yg
Rahardjo Budi,kaleng  
Ipank Abdul,media gak tau diri  kurangajarr berita ngawurfd
Naim Wonk,mgkin penulisnnya lulusan universitas        jd kongslet
Anugrah Putro,informasikan berita yg sesuai fakta   
Irham Walid,selalu bikin hoax
Ican Idham,media hoax  
Samhudi Bhai,semakin ngelunjak apk detikcom  bukan informasi yg menyehatkan menyesatkan  tidak ntungnya jurnalis dgn cari makan hasil narasi hoak  segitunya min 
P Maranatha Siburian,media propaganda  wajib dibenam
Agus Purwana,gak bedanya media abal 
mustofa wajdi,media pers bayaran barisan sakit hati  pemberitaan provokatif akurat 
soem arsana,klik bait     
Mr Cool,aplikasi ga jelas  
yoyok ceper,belum sehari judul diedit  
Lambeh Turah,gerakan unistal detik
Krispianus Maliki,judul nya suka menjebak
Awan RS,klik bait tero 
Pengguna Google,bintang bicara
Cerita Fashion,selalu informasi cepat narasumber  semangat berita akurat detikcom  jangan down gara gara narasumber salah ngomong wartawan dianggap bohong  setiap detik muncul berita variatif  semangat 
Parlianto,sejak independen  terlalu pemodal  
putut yono,berita nya tendensius   dulu suka  pakai bertahun tahun   tpi brita nya sd murni
Heryanto Jepun,belakangan beritanya bikin gw malas membacanya  media yg cenderung provokatif  ga layak lg dibaca  smoga beruntung bareng kadrun ya 
Ridwan Akbar,bantu naikin rating  parah tuh yg ngejatuhin rating cuman gara  urusan politik  istighfarlah  hanya   berita disengaja  kesalahan pemberitaan  kebaikan berita  yg lainnya  tega merusak rating app ini  tidak terpikirkah disengaja berbuat zhalim  berbuat dosa  ingatlah  perbuatan buruk apapun balasannya allah  tuhan alam 
Julius Nasution,no independent  hoax    
SM SPORT ARENA,srbagai media berimbang mencerdaskan bukab memfreming  memprovokasi  uninstall
Pengguna Google,buruk banget     ini media norak
Septian Chandra,sembunyi dibalik kebebasan pers
R15kan,judulnya berubah  kek jurnalis facebook
ANH Channel,reviai teros
KETUT HARTAWAN,bikin hook terus 
One Spring,tendensius tertentu  netral
Rominto Marpaung,sudah berbobot
Iman Manurung,beritanya gk berbobot cendrung berpihak
Alisa Marina,saya kasih   bintang utk media yg tdk memberi edukasi berdasarkan jurnalistik
Yusuf Machsar,berita judul beda
Doengan Silitoenga,beritanya uda gk netral
Rudy Tahu,detik     why    
Nurul Chelsea,jd males
Suradi,berita ngak berkualitas
Fahrur Rozi,tengah  
Penny Florentina,berita imbang
sanji gemilang,sayangkan clikbait yg media ini  beda judul beda isi  berita udh ngawur  hati  provokator neh 
Mas Projo,beritanya tendensius berimbang
Even D. Fransisca,sdh tdk imparsial
Riyanti Ustafia,ngapain loh detik com masuk apk vivo gak otak
Rohmat Tonasir,beritanya cenderung provokatif 
Jack Slatter,judul berita provokatif clickbait menyudutkan pihak 
Juno Febriano,beritanya mulao ngaco
Bintang Hutasoit,sudah selesai  
Candra Halim Ong,beritanya fitnah
Klara Sogemaking,manipulasi fakta  saat lebaran presiden jokowi kunjungan presiden jokowi mall bekasi  sbg pelajaran redaktur  rame rame uninstall  anda hrs belajar buka lapak  netizen media yg coba memancing air keruh ditengah pendemi     bebas hrs sesuai fakta 
Yuka Collection,aplikasi penyebar hoax
Sukron Sokotunggal,lambat laun kredibilitas detikcom sebatas sampah berita yg beredar masyarakat luas      apakah detik merevolusi jurnalis sampah yg memuat berita hoax      sampai   merevisi berita      hanya judul berita
Erwan Hamdani,gara  pemberitaan yg ga bener detik  pak jokowi nyinyirin duta mall  difitnah salat ied berjamaah  jamaah keluarga
herlina lina,helo detik dgn mu   berita mu sgt menyesatkan    
lina loekman,sangat respect tdk profesional  media pesanan provokator utk pemecah belah  kumpulan tukang fitnah sarangnya
Harwanto Anto,clik bait  
Trikblogku,provokasi dlu klarifikasi  mantap
Hendrikus,udah gak netral  buang wartawan redaktur kadal gurun
Anang Tri ariantono,kumpulan hoax
snow idea,harus independen jgn berita yg dipesan
Didik Hendro Purnomo,media online editor   redaktur yg amatiran  cari duit dg klikbait    wa alam
Muslih Pawon,mencla mencle
Edy Prayitno,tidak dipercaya isi beritanya
Yuddy Azza,beritanya ga jelas 
DRAW n SONG By EDIKANI,sudah sekelas pendemo bayaran beritanya cocoknya sumbu pendek buzzer
Ednar R. Bratadilaga,berimbang  
lion channel,sudah gk independent detik
tansi siagian,maaf aplikasi hoax  banyak pemberitaan valid  delete
jinggo threetimes,unfortunately   have been using this news portal for more than   years     reform the mind and its human resources  journalists  editors   editor in chief  the headline often makes misleading and provocative     it  too bad  goodbye   
Loksa Simanjuntak,bad news is  good news  sdh tdk relevan  kursusin penulis anda  monitoring level supervisornya lbh baik  salam    
Erlan Vernando,berita objektif  
Rudy Winata,sdh tdk netral  berita yg ditampilkan menyudutkan pemerintah sdg plus poin pemerintah jarang diberitakan trus komen yg mendukung pemerintah didelete sdg yg menyudutkan pemerintah dibiarkan tampil 
maradona fandy,netral    
Idermawan Ariyanto,berita nya sengaja menggiring opini menyudutkan tertentu  sepertinya media peer berita 
BOIM AZZA,kembali kaidahnya
efendi e.w,pembodohn  anjg   sebar berita yg valid njing
Daeli Daeli,dulu sya suka sya uninstall  mendukung pemerintahan yg melukai hati yg pro presiden jokowi
Muchtar Luthfi Malik Al Azhar,detik iklannya beritanya  serius tanya  detik kuat gaji wartawannya sesuai umk gak sih 
Nye Nyong,kemana adminnya     jelaskan coba aplikasi bintang
Ching Ecko,semakin aneh beritanya
YUSUP S. TIKU,ada yg aneh dgn berita nya 
Arfna ACC,dulu seneng detik berita nta update    skrng terkesan click bait  ikut  media sampah nya
Pedro,oon
johanes tarigan,kalau menulis isi berita coba cek bahasanya  banyak salah 
Wilhelmus Willy,hah tunggangan   fulus
BOCAH PRAPATAN,berita nya jujur netral
adhy tiku,penuh berita tdk pantas        
Tisong Bintang,berita penyebar hoax sesaui  lapangan mengiring opini untukk membenci pemerintahh dasar berita sampah   
Evaevan Nico,nyari makan gitu dah    media hrs nya netral  sangsi sosial kejam  bye
Yohanes Nathaniel Adi Suryono,tendensius
Edi Junaedi,maaf sy uninstal krn beritanya sdh tdk berimbang cenderung memihak 
roni syah,pemberi kabar percaya  no good     
Dayoko Jepara Furniture,isi judul ga sesuai
Fadjar Gobel'z,berita ora akuratt
Theresia Suparni,to much fake news  bad journalism    dangerous application 
Gede Aryana,pemberitaannya ajar
Lutfiah Fiah,gak netral jd malas  
Jovi Kurniawan,berita nya gk bagus
Black Concept,uninstall media sampah    gitu aja mewakili
Brian89,semakin beritanya netral  berita salah  penuh provokasi  ayo donk detik  pelanggan setiamu  netral  uninstal aplikasi ini  rakyat susah  media informasi kredibel valid  pemicu kepanikan  ayo detik  yakin  engkau media netral  abal abal  bravo detik 
Idrus Malik ibrahim,apa ditanam dipetik
rubby pradian2,paraah
affan hadi,sory ya tik loe gw unistal  dulunya suka detik fair tp skrg engga tau ngaco  ngawur  jgn dibodohin dgn tangga sebelah jd jurnalis yg jujur berani melawan hoax  thx  tik  by by   
Toni Agusman,beritanya cover both side
ronald rao,parah   beritanya udah kacau  
Kirono P,tidak bermutu beritanya  dah gitu aja
Richie' Style,bad newsmedia
siswoko -,gak jelas     hoax mulu
Gresilia Anggraeni,banyak berita hoax yg diputar balikan
ie publish,suka klik bait
Robin B,kurang profesional       judul berita aja revisi  tidak netral tendensius  uninstall aja 
Kenzo Gaming,tik tok tik tok tik tok
Muhamad Yusuf,jangan suka memutar balikan fakta
HEBOH YT,seharusnya isi beritanya mensuppopemetintahan melawan pandemi
cahyo tegal,sudah gak berimbang nyesel     unistal aja bay bay
Steven Albert,tidak berimbang netral beritanya 
Tarihoran Rajapanapang,sudah berpolitik  
krisna heryanto,bintang   maksimal
Inter Melky,kurang proposional
maifa dity,auto uninstall    terlalu click bait    jadi bahan ampas
Sutianto Tio,berita penuh hoax  menyesatkan pembaca mending baca kompas
oje kecil,memperkeruh suasana
Elisa Vivaldi Marpaung,sdh media abal 
Sugito Lanang,banyak berita detik yg ngawur
Dwi Sardianto,beritanya gak akurat menggiring opini
Maulana Wahyu Dewanto,makan tuh ulah kalian  beritamu ngawur
TYANA PRAMITA DAMAYANTI,berita berita nya terupdate detik sumber berita info kredibel saya  terima kasih detik  keep it up 
Lidya Pratiwi,media informasi menarik  terupdate info info yg negeri  semoga detikcom jaya maju kedepannya   
Daud Sitohang,media receh sekarang  malu in ct corp aja bro 
Riyan Dika,dasar kadrun  media abal abal     
M. CHAIDIR ANDIAZ,beritanya rombengan    
irwantomialsa alsa,media independen  berpoltik
Yuli Subroto,jurnalistik gak netral   payah  
Yadik Mulyadi,kenapa judul beritanya cenderung provokatif      
Yusuf Muhammad,sudah netral beritanya cenderung menyesatkan 
Kendri Zhuang,media  bermutu
nurcholis maarif,beritanya update  akurat  informatif  sangat membantu  
Umu,beritanya update  selalu baca detik pagi  siang  malam  baca berita langsung media online terpercaya emang baca berita grup whatsapp keluarga udah kena bumbu bumbu buzzer  keep smaindonesian people 
Alfi Kholisdinuka,detik beritanya berani  fakta bahasa jurnalisme kini  pertahankan media nomer   indonesia 
Sinar Jaya,sorry detik
Wahyuning Widi,sangat tendensius utk jatuhkan pemerintah
Yonif OMO Properti,berita tdk berbobot  banyak hoaxnya 
Masadi Sukma,detik aneh  kualitas beritanya menurun  berita kebanyakan revisi  menyerang pihak  tdk netral dlm pemberitaan
Martinus Suradi,kurang adem beritanya
Zulian Siregar,beritanya tendensius 
Hendy Hadyan,  sy kasih bintang   krn pemberitaan nya objektif  tp dgn kejadian kemarin sptnya detik perbaikan dipercaya publik 
Muhammad Zahid Abdillah,wa u
Yulianto,ini aja
age adi,hrs berimbang dlm penulisan berita  judul yg mewakili isi berita  gaknusaah kebanyakan  framing  
herry Herryanto,sangat disayangkan  detik yg banggakan berpolitik         
Pengguna Google,salut  bertahan cari donotur
Anom Wibowo,beritanya relevan    buruk sekali   
Fendha Dwi,kalau cm baca berita clickbait  mending youtuber aja
kang Dede Roheli,kaga loh   berita yg bagus wilayah ono 
golden eagle,bintang   media penyebar hoax clickbait 
HeCla ADS GAS,makin ga jelas     
TRI SUSENO,ra kapok beritane berita jarene     
Lisen Lase,jadilah media independen berimbang informasi 
r priyadi,ngawur
Jaril Alenk,ane kasih bintang   aja niih   kebanyakan update tp  perbedaan yg spesifik dn beritanya dangkal terkesan share
Gusthia Wirahmadhani,masih media terpecaya  
markus pune,semakin jelek
novi susanto,sekarang berita nya gak independent
